Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
118.0199966430664,118.70999908447266,115.62999725341797,116.55999755859375,116.55999755859375,1062300,-1.712,2019-10-16,41,2019,16,Wednesday,-0.010199999999999942,2.092787423509612
117.02999877929688,119.11000061035156,116.80999755859375,117.83000183105469,117.83000183105469,1134000,1.09,2019-10-17,41,2019,17,Thursday,-0.010199999999999942,2.092787423509612
117.91000366210938,117.97000122070312,114.26000213623047,115.33000183105469,115.33000183105469,802600,-2.122,2019-10-18,41,2019,18,Friday,-0.010199999999999942,2.092787423509612
115.7300033569336,120.05999755859375,115.4800033569336,119.0,119.0,1155700,3.182,2019-10-21,42,2019,21,Monday,0.9216000000000001,1.5257363140464344
119.62999725341797,119.94999694824219,117.11000061035156,118.01000213623047,118.01000213623047,1128200,-0.832,2019-10-22,42,2019,22,Tuesday,0.9216000000000001,1.5257363140464344
118.33000183105469,119.30000305175781,117.19999694824219,118.2300033569336,118.2300033569336,719300,0.186,2019-10-23,42,2019,23,Wednesday,0.9216000000000001,1.5257363140464344
119.20999908447266,119.41999816894531,117.0199966430664,118.83000183105469,118.83000183105469,862600,0.507,2019-10-24,42,2019,24,Thursday,0.9216000000000001,1.5257363140464344
119.52999877929688,122.0,118.31999969482422,120.69000244140625,120.69000244140625,2319700,1.565,2019-10-25,42,2019,25,Friday,0.9216000000000001,1.5257363140464344
131.11000061035156,143.14999389648438,129.33999633789062,140.1999969482422,140.1999969482422,10797600,16.165,2019-10-28,43,2019,28,Monday,4.1998,7.136227483761991
137.8699951171875,137.91000366210938,134.08999633789062,135.99000549316406,135.99000549316406,2570000,-3.003,2019-10-29,43,2019,29,Tuesday,4.1998,7.136227483761991
135.86000061035156,140.89999389648438,135.4600067138672,140.4499969482422,140.4499969482422,1644500,3.28,2019-10-30,43,2019,30,Wednesday,4.1998,7.136227483761991
141.8000030517578,144.6199951171875,138.88999938964844,144.3000030517578,144.3000030517578,1943600,2.741,2019-10-31,43,2019,31,Thursday,4.1998,7.136227483761991
145.0,147.11000061035156,143.0399932861328,146.9199981689453,146.9199981689453,1851300,1.816,2019-11-01,43,2019,1,Friday,4.1998,7.136227483761991
148.67999267578125,154.30999755859375,148.0399932861328,154.14999389648438,154.14999389648438,3826400,4.921,2019-11-04,44,2019,4,Monday,0.15740000000000007,2.81846843161317
151.6699981689453,153.30999755859375,150.0,150.3699951171875,150.3699951171875,2551400,-2.452,2019-11-05,44,2019,5,Tuesday,0.15740000000000007,2.81846843161317
150.0,150.0,145.7899932861328,148.47999572753906,148.47999572753906,1363100,-1.257,2019-11-06,44,2019,6,Wednesday,0.15740000000000007,2.81846843161317
148.64999389648438,149.74000549316406,146.25999450683594,148.1699981689453,148.1699981689453,961700,-0.209,2019-11-07,44,2019,7,Thursday,0.15740000000000007,2.81846843161317
147.89999389648438,149.3300018310547,146.00999450683594,147.85000610351562,147.85000610351562,902800,-0.216,2019-11-08,44,2019,8,Friday,0.15740000000000007,2.81846843161317
146.6300048828125,149.39999389648438,145.6199951171875,146.6300048828125,146.6300048828125,1477300,-0.825,2019-11-11,45,2019,11,Monday,-0.04279999999999999,0.9075404674172937
144.1999969482422,147.44000244140625,142.44000244140625,146.38999938964844,146.38999938964844,2002400,-0.164,2019-11-12,45,2019,12,Tuesday,-0.04279999999999999,0.9075404674172937
145.49000549316406,147.7899932861328,143.00999450683594,146.77999877929688,146.77999877929688,1070400,0.266,2019-11-13,45,2019,13,Wednesday,-0.04279999999999999,0.9075404674172937
147.39999389648438,149.00999450683594,146.6280059814453,148.75999450683594,148.75999450683594,1417700,1.349,2019-11-14,45,2019,14,Thursday,-0.04279999999999999,0.9075404674172937
148.6699981689453,148.82000732421875,146.7100067138672,147.50999450683594,147.50999450683594,885600,-0.84,2019-11-15,45,2019,15,Friday,-0.04279999999999999,0.9075404674172937
144.74000549316406,144.88999938964844,139.50999450683594,140.25999450683594,140.25999450683594,2305400,-4.915,2019-11-18,46,2019,18,Monday,-0.885,2.6754562227777154
140.5,140.5,136.25,136.97000122070312,136.97000122070312,2119400,-2.346,2019-11-19,46,2019,19,Tuesday,-0.885,2.6754562227777154
136.8300018310547,138.52999877929688,135.25,138.02999877929688,138.02999877929688,1820900,0.774,2019-11-20,46,2019,20,Wednesday,-0.885,2.6754562227777154
138.36000061035156,139.39999389648438,137.19000244140625,139.05999755859375,139.05999755859375,1583300,0.746,2019-11-21,46,2019,21,Thursday,-0.885,2.6754562227777154
140.0800018310547,141.88999938964844,139.35000610351562,140.88999938964844,140.88999938964844,1575800,1.316,2019-11-22,46,2019,22,Friday,-0.885,2.6754562227777154
139.0800018310547,142.7100067138672,138.33999633789062,141.8699951171875,141.8699951171875,1239100,0.696,2019-11-25,47,2019,25,Monday,0.2965,0.9138422548047702
141.8699951171875,144.0,141.64999389648438,143.8300018310547,143.8300018310547,973500,1.382,2019-11-26,47,2019,26,Tuesday,0.2965,0.9138422548047702
143.0800018310547,144.6999969482422,142.8350067138672,142.92999267578125,142.92999267578125,1006500,-0.626,2019-11-27,47,2019,27,Wednesday,0.2965,0.9138422548047702
142.0,143.22999572753906,141.593994140625,142.5500030517578,142.5500030517578,394500,-0.266,2019-11-29,47,2019,29,Friday,0.2965,0.9138422548047702
143.0800018310547,143.47000122070312,141.47999572753906,142.52999877929688,142.52999877929688,1254000,-0.014,2019-12-02,48,2019,2,Monday,0.7664,0.4686259702577313
140.25999450683594,144.14999389648438,140.00999450683594,143.97999572753906,143.97999572753906,755700,1.017,2019-12-03,48,2019,3,Tuesday,0.7664,0.4686259702577313
145.02000427246094,148.36199951171875,144.08999633789062,144.9499969482422,144.9499969482422,1506000,0.674,2019-12-04,48,2019,4,Wednesday,0.7664,0.4686259702577313
146.0,146.89999389648438,144.5500030517578,146.5800018310547,146.5800018310547,791600,1.125,2019-12-05,48,2019,5,Thursday,0.7664,0.4686259702577313
147.58999633789062,148.17799377441406,146.33999633789062,148.08999633789062,148.08999633789062,724200,1.03,2019-12-06,48,2019,6,Friday,0.7664,0.4686259702577313
